experiment,dropped_features,r2_score,macro_f1,micro_f1,delta_r2,delta_macro_f1
baseline,,0.3716256582215337,0.6200818448142966,0.6687948922585794,0.0,0.0
drop_taste_score,taste_score,0.3706782443123465,0.6333611916750834,0.6819258089976322,-0.000947413909187178,0.0132793468607868
drop_value_confidence,value_confidence,0.3705095931347955,0.6237124655024548,0.6634920634920635,-0.0011160650867382271,0.003630620688158226
drop_brightness_confidence,brightness_confidence,0.36813494705651456,0.5995511819146406,0.6608,-0.0034907111650191447,-0.020530662899655994
drop_portion_mentions,portion_mentions,0.36993468615458014,0.6248302446789226,0.6772908366533864,-0.0016909720669535666,0.004748399864625941
drop_brightness_mentions,brightness_mentions,0.3670253321041471,0.6002078063673325,0.6565252201761409,-0.004600326117386588,-0.019874038446964115
drop_non_significant_group,"taste_score, value_confidence, brightness_confidence, portion_mentions, brightness_mentions",0.36635667216378975,0.6109326610873446,0.662992125984252,-0.005268986057743952,-0.00914918372695206
drop_collected_review_count,collected_review_count,0.3604151265486162,0.5833502284947993,0.6503667481662592,-0.011210531672917523,-0.036731616319497284
drop_review_count,review_count,0.3683700295282005,0.6125453343726269,0.6656101426307448,-0.003255628693333179,-0.007536510441669697
drop_rating,rating,0.37412222876980855,0.6085351778103821,0.6692975532754538,0.0024965705482748457,-0.01154666700391449
drop_collection_metadata,"rating, review_count, collected_review_count",0.3559714047417231,0.6002267105935972,0.654281098546042,-0.015654253479810587,-0.0198551342206994
