feature,significant_label_count,min_adjusted_p_value,max_abs_t_value,rf_importance,delta_r2,delta_macro_f1
taste_confidence,5,1.6821878532735551e-49,18.17707787271241,0.16018,,
collected_review_count,5,1.6258528515627574e-60,18.84215110804507,0.096737,-0.0112105316729175,-0.0367316163194972
spaciousness_confidence,5,1.4104239533026069e-12,7.885640024733595,0.057441,,
review_count,5,6.642037488973697e-11,7.207659482555197,0.056309,-0.0032556286933331,-0.0075365104416696
rating,5,1.5910812987185396e-13,8.38925419961108,0.04614,0.0024965705482748,-0.0115466670039144
spaciousness_score,2,1.4503232942522088e-05,5.080675179798263,0.042163,,
value_score,2,0.0006630817011163,3.8444872928145,0.039535,,
noise_score,2,0.0155851093464819,2.624393247739417,0.035363,,
taste_score,0,0.0802202791836861,1.938483914958193,0.034124,-0.0009474139091871,0.0132793468607868
noise_confidence,5,4.3410290368536686e-08,6.003592174459751,0.033555,,
taste_mentions,5,0.0028016541712952,3.3212040272624503,0.032479,,
portion_score,2,0.0175077306369266,2.5739157221060123,0.028572,,
brightness_score,5,1.835767708146238e-05,4.578573015949562,0.024729,,
value_confidence,0,0.0808758875031203,1.9267611542129452,0.023014,-0.0011160650867382,0.0036306206881582
portion_confidence,5,3.956439112860516e-06,5.0628909094783,0.018414,,
spaciousness_mentions,5,1.5886651969618134e-06,5.216417569592309,0.017869,,
value_mentions,5,1.8913549929764956e-08,6.052745454190944,0.017197,,
noise_mentions,5,4.325119913222472e-06,5.026308711551783,0.013236,,
portion_mentions,0,0.1141017223358104,1.7430340898176435,0.009831,-0.0016909720669535,0.0047483998646259
brightness_confidence,0,0.0921783707815735,1.8480082707550156,0.001892,-0.0034907111650191,-0.0205306628996559
brightness_mentions,0,0.2432557659583386,1.2938083906193216,0.001884,-0.0046003261173865,-0.0198740384469641
